key,value
tab_0_name,総合
tab_1_name,サービス
tab_2_name,実績
tab_0_header_1,サービス
tab_0_header_2,無料<br>セミナー
tab_0_header_3,評判
tab_0_header_4,当サイト特典
tab_0_header_5,詳細
tab_1_header_1,サービス
tab_1_header_2,コース数
tab_1_header_3,学べるAI
tab_1_header_4,実績
tab_1_header_5,詳細
tab_2_header_1,サービス
tab_2_header_2,料金
tab_2_header_3,返金<br>保証
tab_2_header_4,特徴
tab_2_header_5,詳細
button_pc_text,公式サイト<br>を見る
button_sp_text,公式<br>サイト
recommend_text,おすすめ
title_label_1,料金
title_label_2,効果
title_label_3,サポート
title_cross,×
title_text,で選ぶ
title_marker,おすすめ
title_main,生成AIスクール
summary_table_header_1,料金
summary_table_header_2,実績・評判
summary_table_header_3,実務サポート
summary_table_header_4,無料セミナー
button_detail_text,詳細を見る
button_card_text,公式サイトを見る
basic_info_tab_1,プラン
basic_info_tab_2,評判
basic_info_tab_3,特徴
basic_info_tab_4,支援
basic_info_learning_format,利用者数
basic_info_difficulty,実績
basic_info_lesson_time,満足度
basic_info_learning_style,受講形式
basic_info_support_hours,コミュニティ
basic_info_reservation_change,その他
basic_info_question_support,サポート体制
basic_info_career_support,案件支援
basic_info_refund_policy,返金保証
table_header_program,コース
table_header_total,習得スキル
table_header_per_session,料金
table_header_monthly,月額
table_header_monthly_note
button_details,詳しく見る
section_reviews,受講者の口コミ
label_overall_rating,(総合評価)
summary_ranking_title,TOP3
mv_year_label,2025年最新版
mv_main_title,生成AIスクール
mv_ranking_word,ランキング
mv_tag1,「副業」
mv_tag2,「転職」
mv_tag3,「業務活用」
disclaimer,※当サイトはプロモーションを含んでいます。
filter_heading,絞り込み検索
filter_ai_type,AI副業の種類
filter_prefecture,都道府県
filter_body_part,部位
filter_monthly_plan,月額プラン
filter_cancellation,中途解約
filter_online,オンライン対応
button_search,検索する
button_close,閉じる
button_menu,メニューを開く
site_name,AI副業おすすめ比較.com
site_description,AI副業スクール・ツールを探すならAI副業比較ナビ
site_subtitle,〜未経験からChatGPTを使いこなせるセミナーを厳選紹介〜
heading_sp_subtitle, ここを選べば失敗なし
heading_sp_main, 生成AIセミナー人気<big>3</big><big2>選</big2>
title_clinic_text,生成AIスクール<big>TOP3</big>を詳しくチェック
footer_popular_schools,人気スクール
footer_management,運営
footer_company,運営者情報
footer_privacy,プライバシーポリシー
footer_disclaimer,免責事項
footer_contact,お問い合わせ
monthly_plan_none,対応なし
